﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-14 11:22:13.000,miners,0.875,146,32549,3919,17746,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,71388,326,bittensor,0.0230,0,0.505,28832,0,miners,79,147,71388,326,1,6.71e-11,856092,0,0,0.210,20260606_1135,validator_metrics,4166270,4760,501620,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.875,98,32539,4062,17751,0,0,0.400,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,66249,323,bittensor,0.0345,0,0.507,28751,0,miners,79,123,66249,323,1,6.68e-11,864247,0,0,0.262,20260606_1135,validator_metrics,4165030,4646,519884,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.883,235,31569,3687,17748,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-32793,323,bittensor,0.0256,0,0.505,27877,0,miners,79,141,-32793,323,1,6.81e-11,857930,0,0,0.230,20260606_1135,validator_metrics,4040775,5206,471988,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.891,63,32047,4042,17676,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,75234,323,bittensor,0.0257,0,0.505,28291,0,miners,79,136,75234,323,1,6.36e-11,887587,0,0,0.240,20260606_1135,validator_metrics,4101981,4967,517427,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.906,202,32433,4222,17814,0,0,0.400,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,60447,325,bittensor,0.0337,0,0.507,28744,0,miners,79,137,60447,325,1,6.82e-11,835617,0,0,0.239,20260606_1135,validator_metrics,4151431,4621,540364,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.906,229,31033,3737,17774,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,77806,321,bittensor,0.0254,0,0.505,27393,0,miners,79,131,77806,321,1,6.61e-11,854895,0,0,0.248,20260606_1135,validator_metrics,3972181,4790,478350,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.914,22,184602,92131,7907,0,0,0.352,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,66976,141,bittensor,0.488,0.151,0.445,7640,3515,miners,79,220,66976,141,1,8.86e-11,4034020,0,0,0.0540,20260606_1135,validator_metrics,23629032,6052,11792751,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.922,114,183594,91678,8177,0,0,0.354,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,69446,153,bittensor,0.526,0.157,0.448,2424,906,miners,79,219,69446,153,1,1.02e-10,3953683,0,0,0.0549,20260606_1135,validator_metrics,23500092,6089,11734805,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.922,21,22821,11059,8039,0,0,0.390,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,42074,146,bittensor,-0.00306,0.00604,0.493,0,0,miners,79,210,42074,146,1,-4.13e-12,3989122,0,0,0.0676,20260606_1135,validator_metrics,2921069,-491,1415512,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.930,143,32249,4212,17791,0,0,0.401,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,67610,317,bittensor,0.0349,0,0.507,28483,0,miners,79,125,67610,317,1,6.79e-11,853216,0,0,0.258,20260606_1135,validator_metrics,4127843,5643,539102,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.930,185,32252,4447,17837,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,87194,334,bittensor,0.0256,0,0.505,28579,0,miners,79,134,87194,334,1,7.43e-11,842969,0,0,0.240,20260606_1135,validator_metrics,4128320,5284,569249,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.953,179,31665,4305,17871,0,0,0.400,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,69478,324,bittensor,0.0334,0,0.507,27958,0,miners,79,121,69478,324,1,6.53e-11,840960,0,0,0.263,20260606_1135,validator_metrics,4053125,5586,550998,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
